Component,Lambda,Metric,Value,CI
P,0.95,util,0.663528,0.00190367052619251
P,0.95,wait,1.375084,0.01959345743515844
System,0.95,pop,7.592162,0.08060910780937897
System,0.95,rt,7.995774,0.07368122561399108
System,0.95,thr,0.949105,0.0020615112193481657
System,0.95,util,0.976159,6.262962926052643E-4
A,1.00,pop,2.981205,0.03945651293543234
A,1.00,rt,0.994012,0.011810578827341376
A,1.00,thr,2.997179,0.006499246801423936
A,1.00,util,0.748999,0.00193711770349705
A,1.00,wait,0.744099,0.01164781233231502
B,1.00,pop,3.978243,0.07938144798574463
B,1.00,rt,3.978896,0.07467644661131148
B,1.00,thr,0.999066,0.0021790700979714387
B,1.00,util,0.798907,0.0024653879922334836
B,1.00,wait,3.179137,0.07368428033496632
P,1.00,pop,2.312950,0.0284050024411679
P,1.00,rt,2.314273,0.02599040338941223
P,1.00,thr,0.999056,0.002179061017468316
P,1.00,util,0.698455,0.002009518641616728
P,1.00,wait,1.615067,0.02526988057695988
System,1.00,pop,9.272175,0.11940799813181315
System,1.00,rt,9.275216,0.10618831055131527
System,1.00,thr,0.999054,0.0021759362871109737
System,1.00,util,0.984419,5.289588110338326E-4
A,1.05,pop,3.663548,0.05387917660447253
A,1.05,rt,1.163178,0.015449542697128265
A,1.05,thr,3.147034,0.006819733793989869
A,1.05,util,0.786449,0.002034435722240273
A,1.05,wait,0.913265,0.015293268510203082
B,1.05,pop,5.213948,0.13075191077241344
B,1.05,rt,4.965013,0.11785936203664012
B,1.05,thr,1.049020,0.002300391756637245
B,1.05,util,0.838851,0.0025827752922452643
B,1.05,wait,4.165254,0.11695181118421315
P,1.05,pop,2.744863,0.0381735701569709
P,1.05,rt,2.615408,0.033473909856707264
P,1.05,thr,1.049010,0.002298834273515471
P,1.05,util,0.733371,0.0021124543158931525
P,1.05,wait,1.916201,0.0327879778633854
System,1.05,pop,11.622128,0.18494121906110642
System,1.05,rt,11.069908,0.15948298417574747
System,1.05,thr,1.049008,0.0022949614813165837
System,1.05,util,0.990471,4.2940683086826944E-4
A,1.10,pop,4.642010,0.07895260343442244
A,1.10,rt,1.406616,0.02191473850357967
A,1.10,thr,3.296878,0.007123848363895985
