Component,Lambda,Metric,Value,CI
A,1.20,rt,1.429345,0.026231951568079608
A,1.20,thr,3.596541,0.00758325053265118
A,1.20,util,0.838805,0.002156503461657711
A,1.20,wait,1.196108,0.026078739271424522
B,1.20,pop,22.865348,1.9504812941959475
B,1.20,rt,18.995864,1.5940318538905949
B,1.20,thr,1.198863,0.0026233386721631327
B,1.20,util,0.958654,0.0027684010665402696
B,1.20,wait,18.196113,1.5932555325573312
P,1.20,pop,0.916212,0.005993614883992303
P,1.20,rt,0.764202,0.004187695496812733
P,1.20,thr,1.198862,0.002638994367516616
P,1.20,util,0.478926,0.0013726712374189046
P,1.20,wait,0.364653,0.003723877166960577
System,1.20,pop,28.925076,1.9989044111669876
System,1.20,rt,24.048095,1.6288059868296592
System,1.20,thr,1.198862,0.002640781591505281
System,1.20,util,0.996321,3.363822323619386E-4
