Component,Lambda,Metric,Value,CI
A,11.00,pop,8.939053,0.28184045735311575
A,11.00,rt,2.481416,0.0753659669446424
A,11.00,thr,3.596541,0.007358915137935339
A,11.00,util,0.898776,0.0021940840992030653
A,11.00,wait,2.231504,0.07519098837852747
B,11.00,pop,5.088311,0.0403144273579749
B,11.00,rt,4.243242,0.02843702023272854
B,11.00,thr,1.198867,0.00260088869368345
B,11.00,util,0.895505,0.0017734110042707937
B,11.00,wait,3.443484,0.027102805374663707
P,11.00,pop,5.170856,0.11755481783804411
P,11.00,rt,4.308900,0.09218169914909781
P,11.00,thr,1.198854,0.002617544973474051
P,11.00,util,0.838147,0.0024069378445442727
P,11.00,wait,3.609695,0.09151102369678467
System,11.00,pop,19.197897,0.37193578067610655
System,11.00,rt,15.995453,0.28466303210956356
System,11.00,thr,1.198851,0.0026231845461017096
System,11.00,util,0.998097,1.677132072898936E-4
A,12.00,pop,8.922260,0.28086891800254005
A,12.00,rt,2.476758,0.07503964660722998
A,12.00,thr,3.596534,0.007345224285170171
A,12.00,util,0.898752,0.002192231766505644
A,12.00,wait,2.226846,0.07486896609784394
B,12.00,pop,5.484555,0.04651520771099469
B,12.00,rt,4.573460,0.03303327869636631
B,12.00,thr,1.198867,0.0026002084203569117
B,12.00,util,0.901672,0.001781596580978631
B,12.00,wait,3.773702,0.03173344001152295
P,12.00,pop,5.165199,0.11715626994579406
P,12.00,rt,4.304384,0.09193932495717279
P,12.00,thr,1.198852,0.0026153921334933655
P,12.00,util,0.838135,0.002403226905507566
P,12.00,wait,3.605179,0.09126092082251042
System,12.00,pop,19.571927,0.37499770767997265
System,12.00,rt,16.306972,0.28649192542690327
System,12.00,thr,1.198850,0.0026203843874913935
System,12.00,util,0.998184,1.6708210751297342E-4
A,13.00,pop,8.925427,0.2817064663298838
A,13.00,rt,2.477525,0.0752660571623099
A,13.00,thr,3.596535,0.007358295932543357
A,13.00,util,0.898767,0.0021956844674697437
A,13.00,wait,2.227613,0.07509324990474635
B,13.00,pop,5.877060,0.05302764446328237
B,13.00,rt,4.900678,0.03810733479617459
B,13.00,thr,1.198865,0.002598434966591549
B,13.00,util,0.906939,0.0018099085219460017
B,13.00,wait,4.100920,0.036796060212951634
P,13.00,pop,5.157517,0.11742683261513716
P,13.00,rt,4.298026,0.09214817517042605
P,13.00,thr,1.198847,0.0026190094040896158
P,13.00,util,0.838100,0.0024047047466360418
P,13.00,wait,3.598820,0.09147395252516044
System,13.00,pop,19.958985,0.3784919888324236
System,13.00,rt,16.629487,0.28880903605640545
System,13.00,thr,1.198845,0.002623876729994404
System,13.00,util,0.998263,1.6460168651301864E-4
A,14.00,pop,8.917509,0.28400464986751256
A,14.00,rt,2.475240,0.07580636665689205
A,14.00,thr,3.596538,0.007368064598507319
A,14.00,util,0.898741,0.0022001135790014476
A,14.00,wait,2.225327,0.07563672514885221
B,14.00,pop,6.249559,0.06083501307945637
B,14.00,rt,5.210981,0.044007084878358825
B,14.00,thr,1.198865,0.002598403191542417
B,14.00,util,0.911338,0.0018388198670181008
B,14.00,wait,4.411222,0.04272554862431409
P,14.00,pop,5.159235,0.11771608022829237
P,14.00,rt,4.299398,0.09229750562270489
P,14.00,thr,1.198848,0.0026136937803187417
P,14.00,util,0.838126,0.0024046399846436102
P,14.00,wait,3.600192,0.09162838961630007
System,14.00,pop,20.325565,0.38676938752158263
System,14.00,rt,16.934545,0.2946419524759629
System,14.00,thr,1.198844,0.0026169142875719126
System,14.00,util,0.998346,1.592019471764244E-4
A,15.00,pop,8.921103,0.2861480668726141
A,15.00,rt,2.476251,0.07642839815170692
A,15.00,thr,3.596537,0.0073775039191369554
A,15.00,util,0.898775,0.002197701542957631
A,15.00,wait,2.226338,0.07625641376279016
B,15.00,pop,6.624981,0.06982665385741864
B,15.00,rt,5.523841,0.05129307884634003
B,15.00,thr,1.198865,0.0025997346692427066
B,15.00,util,0.915383,0.0018978225331777135
B,15.00,wait,4.724083,0.05000662448244398
P,15.00,pop,5.153952,0.11645053023929229
P,15.00,rt,4.295091,0.09134456712572986
P,15.00,thr,1.198848,0.002616693670455992
P,15.00,util,0.838134,0.002403284535920374
P,15.00,wait,3.595886,0.09068331451598449
System,15.00,pop,20.698933,0.3931933638897555
System,15.00,rt,17.245669,0.2993113073983722
System,15.00,thr,1.198844,0.0026164944887854835
System,15.00,util,0.998425,1.56139299173203E-4
A,16.00,pop,8.914752,0.28654044039766274
A,16.00,rt,2.474428,0.07649132042225754
A,16.00,thr,3.596531,0.007373740858592752
A,16.00,util,0.898745,0.0021921524073428554
A,16.00,wait,2.224515,0.07632501925209645
B,16.00,pop,7.012001,0.07732570261502263
B,16.00,rt,5.846291,0.056958424692941254
B,16.00,thr,1.198860,0.0025920752040717067
B,16.00,util,0.918896,0.0018931827742218125
B,16.00,wait,5.046535,0.05571528525262615
P,16.00,pop,5.157151,0.11878806180744078
P,16.00,rt,4.297784,0.09302892569415123
P,16.00,thr,1.198849,0.00261389076320629
P,16.00,util,0.838120,0.002398455290159918
P,16.00,wait,3.598579,0.09237420783588246
System,16.00,pop,21.082046,0.4027955370150965
System,16.00,rt,17.564881,0.30678344187121775
System,16.00,thr,1.198845,0.0026112911720325214
System,16.00,util,0.998481,1.509744462050674E-4
A,17.00,pop,8.901959,0.27820871446471673
A,17.00,rt,2.470973,0.07426958972277545
A,17.00,thr,3.596537,0.007386778814690068
A,17.00,util,0.898752,0.0021932322630904065
A,17.00,wait,2.221060,0.07409772168875994
B,17.00,pop,7.383425,0.08558107488583686
B,17.00,rt,6.155725,0.0634279965152927
B,17.00,thr,1.198866,0.002595915164533184
B,17.00,util,0.922067,0.001923600939713828
B,17.00,wait,5.355966,0.06215787390197371
P,17.00,pop,5.151430,0.11570571674987573
P,17.00,rt,4.292931,0.09064172508753915
P,17.00,thr,1.198848,0.0026119764207351
P,17.00,util,0.838130,0.0023986437798855006
P,17.00,wait,3.593725,0.08999749246737196
System,17.00,pop,21.434874,0.4022697974423248
System,17.00,rt,17.858921,0.305339534468984
System,17.00,thr,1.198841,0.002606890200833865
System,17.00,util,0.998534,1.456589587899616E-4
A,18.00,pop,8.899864,0.28327996494423247
A,18.00,rt,2.470385,0.07564834399063845
A,18.00,thr,3.596531,0.0073858165366572975
A,18.00,util,0.898761,0.002198630928855979
A,18.00,wait,2.220473,0.07547656984354853
B,18.00,pop,7.752887,0.0963799610661995
B,18.00,rt,6.463257,0.07178565043378739
B,18.00,thr,1.198859,0.002595632822325713
B,18.00,util,0.924977,0.001959598649156145
B,18.00,wait,5.663505,0.07051833376991579
P,18.00,pop,5.157852,0.11685263671369131
P,18.00,rt,4.298394,0.0914908073555399
P,18.00,thr,1.198848,0.0026133492096632217
P,18.00,util,0.838131,0.0023956138621086197
P,18.00,wait,3.599188,0.09084595975929602
System,18.00,pop,21.808083,0.4118462246524272
System,18.00,rt,18.169927,0.31301992242513216
System,18.00,thr,1.198842,0.0026090316975036798
System,18.00,util,0.998572,1.4386448451651602E-4
A,19.00,pop,8.880369,0.28137677283473983
A,19.00,rt,2.464969,0.07511446514230803
A,19.00,thr,3.596532,0.007385259168193498
A,19.00,util,0.898737,0.002200239674768166
A,19.00,wait,2.215056,0.07493773169271234
B,19.00,pop,8.118494,0.10453847384616688
B,19.00,rt,6.768110,0.07815937405597362
B,19.00,thr,1.198859,0.0026008507623963843
B,19.00,util,0.927299,0.001964355260561512
B,19.00,wait,5.968358,0.07689443539891185
P,19.00,pop,5.157030,0.11722296633082052
P,19.00,rt,4.297647,0.0920073373285014
P,19.00,thr,1.198846,0.0026103912942890425
P,19.00,util,0.838128,0.002395412210196798
P,19.00,wait,3.598441,0.09134499755687865
System,19.00,pop,22.154362,0.4146010842192986
System,19.00,rt,18.458190,0.31430102680835814
System,19.00,thr,1.198840,0.0026047571866947687
System,19.00,util,0.998628,1.451332155882439E-4
A,20.00,pop,8.890565,0.2843071711751248
A,20.00,rt,2.467699,0.07587371423521454
A,20.00,thr,3.596530,0.00738615650826655
A,20.00,util,0.898768,0.002202880238019157
A,20.00,wait,2.217787,0.07569753945067206
B,20.00,pop,8.477135,0.11634880250532635
B,20.00,rt,7.066453,0.08751065301712314
B,20.00,thr,1.198857,0.00259665751400295
B,20.00,util,0.929501,0.0020074214692770305
B,20.00,wait,6.266701,0.08626887830022889
P,20.00,pop,5.155200,0.117541494103415
P,20.00,rt,4.296134,0.09238574539097777
P,20.00,thr,1.198846,0.002606115531475395
P,20.00,util,0.838104,0.002394016736077957
P,20.00,wait,3.596928,0.09172793291406452
System,20.00,pop,22.520001,0.4249383920536995
System,20.00,rt,18.762942,0.3222107429811687
System,20.00,thr,1.198841,0.002601549408774563
System,20.00,util,0.998652,1.3994759095333812E-4
A,21.00,pop,8.909755,0.28735705934886313
A,21.00,rt,2.472961,0.07668945425266169
A,21.00,thr,3.596528,0.007396491225001657
A,21.00,util,0.898769,0.0022059821706430934
A,21.00,wait,2.223049,0.0765143899692655
B,21.00,pop,8.818263,0.12528976628259333
B,21.00,rt,7.350549,0.09460407335976677
B,21.00,thr,1.198858,0.0026014500052888097
B,21.00,util,0.931492,0.0020117492270918863
B,21.00,wait,6.550797,0.09335533329075829
P,21.00,pop,5.148450,0.11796540105561254
P,21.00,rt,4.290416,0.09261116286598416
P,21.00,thr,1.198846,0.0026070281469314427
P,21.00,util,0.838121,0.0023922785549219104
P,21.00,wait,3.591211,0.091967708331138
System,21.00,pop,22.873423,0.4320519897208381
System,21.00,rt,19.056885,0.3275818341062107
System,21.00,thr,1.198840,0.0025994714961208526
System,21.00,util,0.998686,1.4027104296513614E-4
A,22.00,pop,8.884500,0.28421262102737826
A,22.00,rt,2.466013,0.07585529863828488
A,22.00,thr,3.596529,0.007399318385687495
A,22.00,util,0.898770,0.0022069776773493014
A,22.00,wait,2.216100,0.07567473665120211
B,22.00,pop,9.148852,0.13745776764319864
B,22.00,rt,7.625318,0.10396443532407405
B,22.00,thr,1.198858,0.002603142407441083
B,22.00,util,0.933279,0.0020411979237306686
B,22.00,wait,6.825565,0.10274607850512493
P,22.00,pop,5.170347,0.11818936764097977
P,22.00,rt,4.308797,0.09285857814404987
P,22.00,thr,1.198845,0.0026001288030596563
P,22.00,util,0.838102,0.002395171699200017
P,22.00,wait,3.609591,0.09221347819224104
System,22.00,pop,23.201263,0.4379568959687578
System,22.00,rt,19.330022,0.33188429749876486
System,22.00,thr,1.198839,0.00259491902601764
System,22.00,util,0.998724,1.362007511424231E-4
A,23.00,pop,8.877132,0.28008555214160546
A,23.00,rt,2.464035,0.07468133993751534
A,23.00,thr,3.596527,0.007388270867762357
A,23.00,util,0.898773,0.002203270147743206
A,23.00,wait,2.214122,0.07450506443601045
B,23.00,pop,9.497463,0.1481463298269613
B,23.00,rt,7.915810,0.1126276351258225
B,23.00,thr,1.198857,0.0025994238351547032
B,23.00,util,0.934881,0.0020724336693568432
B,23.00,wait,7.116057,0.11140332195812341
P,23.00,pop,5.165298,0.11708698601495074
P,23.00,rt,4.304686,0.09215397145462327
P,23.00,thr,1.198844,0.002601891307720642
P,23.00,util,0.838111,0.0023942038318345827
P,23.00,wait,3.605481,0.09150000434257671
System,23.00,pop,23.537566,0.4463095690289852
System,23.00,rt,19.609957,0.3383322884947507
System,23.00,thr,1.198836,0.0025971960173309192
System,23.00,util,0.998765,1.340856043761963E-4
A,24.00,pop,8.859108,0.27918665108470286
A,24.00,rt,2.458976,0.07439738719950212
A,24.00,thr,3.596524,0.007391877696552976
A,24.00,util,0.898745,0.0022050748968440955
A,24.00,wait,2.209063,0.07422052511806448
B,24.00,pop,9.842367,0.1604129857760794
B,24.00,rt,8.202951,0.12257018001636759
B,24.00,thr,1.198859,0.002604743985679769
B,24.00,util,0.936387,0.002079652112573324
B,24.00,wait,7.403199,0.12134581580011028
P,24.00,pop,5.169723,0.11552222199690526
P,24.00,rt,4.308298,0.09083070575185616
P,24.00,thr,1.198844,0.0026013501024344026
P,24.00,util,0.838110,0.002391838291222859
P,24.00,wait,3.609093,0.09020266059582623
System,24.00,pop,23.868503,0.45468742139234386
System,24.00,rt,19.885583,0.34437289001102384
System,24.00,thr,1.198836,0.002596114832293091
System,24.00,util,0.998777,1.3477610948814918E-4
A,25.00,pop,8.864555,0.27965687934056155
A,25.00,rt,2.460494,0.07453099272406197
A,25.00,thr,3.596526,0.00739385571824159
A,25.00,util,0.898758,0.0022078780694712178
A,25.00,wait,2.210580,0.0743536639201833
B,25.00,pop,10.160030,0.17147405627775925
B,25.00,rt,8.467318,0.13158643391403582
B,25.00,thr,1.198858,0.0026033304816675453
B,25.00,util,0.937864,0.002117224244018812
B,25.00,wait,7.667565,0.13036451265221627
P,25.00,pop,5.166690,0.11487992873223228
P,25.00,rt,4.305933,0.09022234284572891
P,25.00,thr,1.198843,0.002597227457941957
P,25.00,util,0.838113,0.0023918735505783256
P,25.00,wait,3.606727,0.08956897879023006
System,25.00,pop,24.187920,0.4574292113796194
System,25.00,rt,20.151770,0.34671492397584586
System,25.00,thr,1.198835,0.0025923280453032547
