Time,Metric,Value,Seed,Component
4750.000000,Population,4.540372,123456789,P
4750.000000,Population,16.047853,123456789,System
4750.000000,Throughput,3.609895,123456789,A
4750.000000,Throughput,1.204842,123456789,B
4750.000000,Throughput,1.200632,123456789,P
4750.000000,Throughput,1.200632,123456789,System
4750.000000,Utilization,0.894306,123456789,A
4750.000000,Utilization,0.885178,123456789,B
4750.000000,Utilization,0.830037,123456789,P
4750.000000,Utilization,0.998387,123456789,System
4750.000000,WaitTime,1.724397,123456789,A
4750.000000,WaitTime,2.844738,123456789,B
4750.000000,WaitTime,3.077924,123456789,P
5000.000000,ResponseTime,1.970208,123456789,A
5000.000000,ResponseTime,3.647139,123456789,B
5000.000000,ResponseTime,4.040607,123456789,P
5000.000000,ResponseTime,13.580339,123456789,System
5000.000000,Population,7.132584,123456789,A
5000.000000,Population,4.411860,123456789,B
5000.000000,Population,4.981499,123456789,P
5000.000000,Population,16.518663,123456789,System
5000.000000,Throughput,3.619600,123456789,A
5000.000000,Throughput,1.209200,123456789,B
5000.000000,Throughput,1.201000,123456789,P
5000.000000,Throughput,1.200800,123456789,System
5000.000000,Utilization,0.896191,123456789,A
5000.000000,Utilization,0.885944,123456789,B
5000.000000,Utilization,0.834492,123456789,P
5000.000000,Utilization,0.998110,123456789,System
5000.000000,WaitTime,1.722679,123456789,A
5000.000000,WaitTime,2.850446,123456789,B
5000.000000,WaitTime,3.349868,123456789,P
5250.000000,ResponseTime,2.026271,123456789,A
5250.000000,ResponseTime,3.646563,123456789,B
5250.000000,ResponseTime,4.269441,123456789,P
5250.000000,ResponseTime,13.997610,123456789,System
5250.000000,Population,7.354345,123456789,A
5250.000000,Population,4.413919,123456789,B
5250.000000,Population,5.163178,123456789,P
5250.000000,Population,16.931941,123456789,System
5250.000000,Throughput,3.629333,123456789,A
5250.000000,Throughput,1.209714,123456789,B
5250.000000,Throughput,1.209333,123456789,P
5250.000000,Throughput,1.209333,123456789,System
5250.000000,Utilization,0.896536,123456789,A
5250.000000,Utilization,0.886554,123456789,B
5250.000000,Utilization,0.836407,123456789,P
5250.000000,Utilization,0.998314,123456789,System
5250.000000,WaitTime,1.779278,123456789,A
5250.000000,WaitTime,2.850104,123456789,B
5250.000000,WaitTime,3.577815,123456789,P
5500.000000,ResponseTime,1.996285,123456789,A
5500.000000,ResponseTime,3.643038,123456789,B
5500.000000,ResponseTime,4.153474,123456789,P
5500.000000,ResponseTime,13.787527,123456789,System
5500.000000,Population,7.234099,123456789,A
5500.000000,Population,4.400774,123456789,B
5500.000000,Population,5.012915,123456789,P
5500.000000,Population,16.646159,123456789,System
5500.000000,Throughput,3.622364,123456789,A
5500.000000,Throughput,1.207818,123456789,B
5500.000000,Throughput,1.206909,123456789,P
5500.000000,Throughput,1.206727,123456789,System
5500.000000,Utilization,0.897087,123456789,A
5500.000000,Utilization,0.887146,123456789,B
5500.000000,Utilization,0.831303,123456789,P
5500.000000,Utilization,0.998271,123456789,System
5500.000000,WaitTime,1.748734,123456789,A
5500.000000,WaitTime,2.845712,123456789,B
5500.000000,WaitTime,3.464728,123456789,P
5750.000000,ResponseTime,1.965563,123456789,A
5750.000000,ResponseTime,3.634743,123456789,B
5750.000000,ResponseTime,4.068592,123456789,P
5750.000000,ResponseTime,13.601068,123456789,System
5750.000000,Population,7.101664,123456789,A
5750.000000,Population,4.378036,123456789,B
5750.000000,Population,4.899292,123456789,P
5750.000000,Population,16.378844,123456789,System
5750.000000,Throughput,3.613043,123456789,A
5750.000000,Throughput,1.204348,123456789,B
5750.000000,Throughput,1.204174,123456789,P
5750.000000,Throughput,1.204174,123456789,System
5750.000000,Utilization,0.892494,123456789,A
5750.000000,Utilization,0.886490,123456789,B
