Time,Metric,Value,Batch,Component
122847.844930,wait,1.666272,29,P
122847.844930,util,0.978359,29,P
122847.844930,pop,2.372821,29,P
122847.844930,thr,1.002779,29,P
122847.956013,rt,9.324522,29,System
122847.956013,pop,9.338674,29,System
122847.956013,util,0.984686,29,System
122847.956013,thr,1.003088,29,System
124224.483599,rt,0.883510,90,A
124224.483599,wait,0.634514,90,A
124224.483599,util,0.739040,90,A
124224.483599,pop,2.622507,90,A
124224.483599,thr,2.971471,90,A
125575.566036,rt,1.029888,91,A
125575.566036,wait,0.784191,91,A
125575.566036,util,0.746885,91,A
125575.566036,pop,3.139191,91,A
125575.566036,thr,3.031643,91,A
126965.539667,rt,3.888098,30,B
126965.539667,wait,3.086213,30,B
126965.539667,util,0.740278,30,B
126965.539667,pop,3.863504,30,B
126965.539667,thr,0.994039,30,B
126966.372714,rt,1.107171,92,A
126966.372714,wait,0.855151,92,A
126966.372714,util,0.740367,92,A
126966.372714,pop,3.244442,92,A
126966.372714,thr,2.945053,92,A
126968.788005,rt,2.438582,30,P
126968.788005,wait,1.716862,30,P
126968.788005,util,0.135347,30,P
126968.788005,pop,2.423315,30,P
126968.788005,thr,0.993947,30,P
126968.893513,rt,9.346499,30,System
126968.893513,pop,9.284434,30,System
126968.893513,util,0.982062,30,System
126968.893513,thr,0.993949,30,System
128276.997193,rt,0.823137,93,A
128276.997193,wait,0.582705,93,A
128276.997193,util,0.751650,93,A
128276.997193,pop,2.574595,93,A
128276.997193,thr,3.125228,93,A
129623.834260,rt,0.932446,94,A
129623.834260,wait,0.683014,94,A
129623.834260,util,0.757928,94,A
129623.834260,pop,2.832420,94,A
129623.834260,thr,3.041199,94,A
131052.091161,rt,4.234867,31,B
131052.091161,wait,3.437468,31,B
131052.091161,util,0.717327,31,B
131052.091161,pop,4.245587,31,B
131052.091161,thr,1.002312,31,B
131053.188033,rt,0.875067,95,A
131053.188033,wait,0.624792,95,A
131053.188033,util,0.717102,95,A
131053.188033,pop,2.507684,95,A
131053.188033,thr,2.865631,95,A
131055.321570,rt,2.054733,31,P
131055.321570,wait,1.365704,31,P
131055.321570,util,0.725483,31,P
131055.321570,pop,2.059041,31,P
131055.321570,thr,1.002316,31,P
131056.141123,rt,8.919642,31,System
131056.141123,pop,8.946445,31,System
131056.141123,util,0.984231,31,System
131056.141123,thr,1.002141,31,System
132371.662802,rt,1.005575,96,A
132371.662802,wait,0.760214,96,A
132371.662802,util,0.762683,96,A
132371.662802,pop,3.127315,96,A
132371.662802,thr,3.106620,96,A
133690.288604,rt,1.128347,97,A
133690.288604,wait,0.874169,97,A
133690.288604,util,0.788635,97,A
133690.288604,pop,3.500294,97,A
133690.288604,thr,3.106264,97,A
135069.396369,rt,3.372043,32,B
135069.396369,wait,2.584727,32,B
135069.396369,util,0.743440,32,B
135069.396369,pop,3.436644,32,B
135069.396369,thr,1.019589,32,B
135071.841199,rt,0.821398,98,A
135071.841199,wait,0.570720,98,A
135071.841199,util,0.743925,98,A
135071.841199,pop,2.440005,98,A
135071.841199,thr,2.964780,98,A
135074.632508,rt,2.159609,32,P
135074.632508,wait,1.474821,32,P
135074.632508,util,0.961076,32,P
135074.632508,pop,2.201578,32,P
135074.632508,thr,1.019080,32,P
135074.725393,rt,8.486900,32,System
135074.725393,pop,8.647632,32,System
135074.725393,util,0.988744,32,System
135074.725393,thr,1.019264,32,System
136428.495601,rt,1.127623,99,A
136428.495601,wait,0.877414,99,A
136428.495601,util,0.755286,99,A
136428.495601,pop,3.402465,99,A
136428.495601,thr,3.019192,99,A
137741.681065,rt,1.129071,100,A
137741.681065,wait,0.878039,100,A
137741.681065,util,0.782912,100,A
137741.681065,pop,3.522066,100,A
137741.681065,thr,3.119133,100,A
139081.462205,rt,4.546367,33,B
139081.462205,wait,3.756272,33,B
139081.462205,util,0.759918,33,B
139081.462205,pop,4.641298,33,B
139081.462205,thr,1.020920,33,B
139083.779206,rt,1.092581,101,A
139083.779206,wait,0.843676,101,A
139083.779206,util,0.759918,101,A
139083.779206,pop,3.334383,101,A
139083.779206,thr,3.051938,101,A
139087.401378,rt,2.408314,33,P
139087.401378,wait,1.700391,33,P
139087.401378,util,0.951455,33,P
139087.401378,pop,2.458047,33,P
139087.401378,thr,1.020742,33,P
139087.577185,rt,10.305641,33,System
139087.577185,pop,10.516091,33,System
139087.577185,util,0.990712,33,System
139087.577185,thr,1.020720,33,System
140503.665367,rt,0.768000,102,A
140503.665367,wait,0.518698,102,A
140503.665367,util,0.718375,102,A
140503.665367,pop,2.211101,102,A
140503.665367,thr,2.884738,102,A
141882.706959,rt,0.890791,103,A
141882.706959,wait,0.644335,103,A
141882.706959,util,0.731624,103,A
141882.706959,pop,2.643770,103,A
141882.706959,thr,2.970179,103,A
143305.086267,rt,3.684991,34,B
143305.086267,wait,2.862175,34,B
143305.086267,util,0.716807,34,B
143305.086267,pop,3.573496,34,B
143305.086267,thr,0.969783,34,B
143306.776170,rt,0.839855,104,A
143306.776170,wait,0.590458,104,A
143306.776170,util,0.717153,104,A
143306.776170,pop,2.415449,104,A
143306.776170,thr,2.876265,104,A
143308.913093,rt,2.182634,34,P
143308.913093,wait,1.475588,34,P
143308.913093,util,0.172018,34,P
143308.913093,pop,2.118129,34,P
143308.913093,thr,0.970269,34,P
143308.922982,rt,8.364689,34,System
143308.922982,pop,8.113250,34,System
143308.922982,util,0.985138,34,System
143308.922982,thr,0.970307,34,System
144668.063677,rt,0.828891,105,A
144668.063677,wait,0.584361,105,A
144668.063677,util,0.736003,105,A
144668.063677,pop,2.494675,105,A
144668.063677,thr,3.008916,105,A
146040.727078,rt,0.902626,106,A
146040.727078,wait,0.652887,106,A
146040.727078,util,0.744637,106,A
146040.727078,pop,2.692118,106,A
146040.727078,thr,2.983980,106,A
147399.581228,rt,3.272252,35,B
147399.581228,wait,2.485758,35,B
147399.581228,util,0.739946,35,B
147399.581228,pop,3.273637,35,B
147399.581228,thr,1.000368,35,B
